Type of Event,Date,Name of Events,Location,Address,phone,url,Cost,hours,Description
East,Wednesday,Indoor Playground (0-5yrs),Beaches RC,-,-,-,-,10:30-11:30am,
East,Friday,Indoor Playground (0-5yrs),Beaches RC,-,-,-,-,10:30-11:30am,
West,Sunday,Kids Program (4-10yrs),Kadampa Meditation Centre Canada,-,-,-,-,11am-12:15pm,
East,Friday,TDSB Drop-in,Bruce Jr PS,-,-,-,-,9am-1pm,
East,Friday,TDSB Drop-in,Roden Jr PS,-,-,-,-,8:45am-12:45pm,
West,Friday,TDSB Drop-in,Shirley Street School,-,-,-,-,11:30am-3:30pm,
West,Wednesday,OEYC Early Learning Drop-in,St Helen's Children's Place at Mary McCormick CRC,-,-,-,-,9am-2pm,
West,Thursday,OEYC Early Learning Drop-in,St Helen's Children's Place at Mary McCormick CRC,-,-,-,-,9am-2pm,
West,Monday,OEYC Early Learning Drop-in,St Helen's Children's Place at Mary McCormick CRC,-,-,-,-,9am-2pm,
Centre,Wednesday,"Drop in (0-6yrs), 2:15-5:30pm",Mothercraft at St. Bruno’s Catholic School,-,-,-,-,10am-12pm,
East,Thursday,Indoor Play (5yrs-),Jimmie Simpson RC,-,-,-,-,9:15am-12:15pm,
East,Monday,Outdoor Playgroup (0-6yrs),Withrow Park Playgroup,-,-,-,-,9:15-10:45am,
Centre,Saturday,Family Gym Time,Brown CC,-,-,-,-,4-5pm,
East,Wednesday,Outdoor Playgroup (0-6yrs),Kew Beach Park Playgroup,-,-,-,-,12:30-3pm,
West,Saturday,Family Badminton (6yrs+),Trinity CRC,-,-,-,-,12:30-2:15pm,
Centre,Tuesday,"Baby Time Storytime, 7, 14, 21 Apr",Maria A. Shchuka Library,-,-,-,-,10:30-11am,
East,Saturday,Saturday Storytime,S. Walter Stewart Library,-,-,-,-,10:30-11am,
Centre,Wednesday,"Baby Time (0-18mos), choose from 10-10:30am or 11-11:30am sessions",Northern District Library,-,-,-,-,10-11:30am,
Centre,Tuesday,"Toddler Time Drop-in (19mos-3yrss), 14, 21, 28 Apr",Wychwood Library,-,-,-,-,10:30-11am,
West,Friday,"Connecting with Families, 1:30-3:30pm: Connecting with Baby 2",Parkdale-High Park OEYC,-,-,-,-,9-11:30am,
West,Tuesday,"Parents & Babies (18mos-) Meditation, runs first Tue of the mth",Kadampa Meditation Centre Canada,-,-,-,-,10:30-11:30am,
East,Wednesday,"Toddler Time (19mos-3yrs) 15, 22, 29 Apr",Gerrard/Ashdale Library,-,-,-,-,10:30-11am,
East,Friday,Family Story Time (0-5yrs),Parliament Street Library,-,-,-,-,10:30-11am,
East,Thursday,"Lego Club (6-12yrs), 16, 23, 30 Apr",Gerrard/Ashdale Library,-,-,-,-,4-5pm,
West,Friday,Friday Night Movies (all ages),Parkdale Library,-,-,-,-,6-8pm,
Centre,Wednesday,"Ready for Reading Family Time (19mos-5yrs), 15, 22, 29 Apr",Leaside Library,-,-,-,-,"9:30-10am, 10:30-11am",
Citywide,Saturday,"The Children’s Garden, $5/sug donation",Brickworks,-,-,-,-,10:am-4pm,
Centre,Tuesday,Family Drop-in,Cecil Community Centre,-,-,-,-,10am-1pm,
West,Friday,"After School Club (8-12yrs),10, 17, 24 Apr",Bloor Gladstone Library,-,-,-,-,4-5pm,
West,Wednesday,Family Gym (2-8yrs); Free w/membership,Harbourfront CC,-,-,-,-,6-7pm,
Citywide,Saturday,"Hands-On Art and Cultural Activities for Families, drop-in (as space permits)",Museum of Inuit Art,-,-,-,-,12-5pm,
Citywide,Sunday,"Hands-On Art and Cultural Activities for Families, drop-in (as space permits)",Museum of Inuit Art,-,-,-,-,12-5pm,
Citywide,Wednesday,PWYC admission,Textile Museum of Canada,-,-,-,-,5-8pm,
West,Tuesday,1st Tue of mth,La Leche League-Toronto West Junction,-,-,-,-,1:30pm,
Centre,Thursday,Family Drop-in,Cecil Community Centre,-,-,-,-,10am-1pm,
Centre,Saturday,Family Drop-in,Cecil Community Centre,-,-,-,-,10am-1pm,
East,Monday,"After School Club (6-12yrs), 13, 20, 27 Apr",S. Walter Stewart Library,-,-,-,-,3:45-5pm,
East,Friday,Family Storytime (0-6yrs),Riverdale Library,-,-,-,-,10:15-11:15am,
Centre,Friday,"Baby Time (0-18mos), 17, 24 Apr",Wychwood Library,-,-,-,-,10:30-11am,
Citywide,Sunday,"Children’s Garden, $5 sug donation",Brickworks,-,-,-,-,10am-4pm,
East,Friday,Drop-in Games Room (6-14yrs),SH Armstrong CRC,-,-,-,-,3:30-6pm,
Centre,Thursday,"Ready for Reading Baby Time, 16, 23, 30 Apr",Leaside Library,-,-,-,-,"9:30-10am, 10:30-11am",
Centre,Monday,"Family Storytime, 13, 20, 27 Apr",Maria A. Shchuka Library,-,-,-,-,10:30-11am,
West,Friday,"Baby/Toddler Storytime, 10, 17, 24 Apr",Dufferin/St Clair Library,-,-,-,-,10:30-11am,
East,Saturday,"Saturday Family Time, 11, 25 Apr",Queen/Saulter Library,-,-,-,-,10:30-11am,
Centre,Monday,Family Drop-in,Mothercraft at Oakwood Library,-,-,-,-,10:30am-1pm,
Centre,Monday,Family Drop-in,Mothercraft at Wychwood Library,-,-,-,-,9:30-11:30am,
Centre,Tuesday,Family Gym Time (18mos-6yrs),Mothercraft at Yorkminster Park Baptist Church,-,-,-,-,9:30-11:15am,
West,Wednesday,Drop-in,Gooch Program College Montrose Children’s Place,-,-,-,-,9am-3pm,
West,Thursday,Drop-in,Gooch Program College Montrose Children’s Place,-,-,-,-,9am-3pm,
West,Saturday,Family Storytime (5yrs-),High Park Library,-,-,-,-,11:15-11:45am,
West,Saturday,Family Time (5yrs-),Oakwood Village Library,-,-,-,-,10:30-11:15am,
West,Monday,2nd Mon of mth,La Leche League - Parkdale/High Park at The Village Healing Centre,-,-,-,-,9:45am,
Centre,Monday,"Preschool Time (3-5yrs) 13, 20, 27 Apr",Wychwood Library,-,-,-,-,2:30-3pm,
East,Tuesday,Drop-in Games Room (6-14yrs),SH Armstrong CRC,-,-,-,-,3:30-6pm,
East,Friday,TDSB Drop-in,Pape Avenue PS,-,-,-,-,9am-1pm,
West,Friday,TDSB Drop-in,Alexander Muir/Gladstone PS,-,-,-,-,8:45am-12:45pm,
West,Friday,TDSB Drop-in,Ryerson Comm School,-,-,-,-,8:45am-12:45pm,
Centre,Friday,TDSB Drop-in,Sprucecourt PS,-,-,-,-,8:45am-12:45pm,
West,Thursday,Parent Child Drop-in (0-5yrs),Scadding Court CC,-,-,-,-,"9-11am, 3:30-6pm",
West,Thursday,Chess for Kids (6-12yrs),Oakwood Village Library,-,-,-,-,4-5pm,
Centre,Wednesday,Details at http://www.cineplex.com/Theatres/StarsAndStrollers.aspx,Stars and Strollers,-,-,-,-,2pm,
West,Monday,"$11.50, Free 0-12mos",Movies for Mommies at Humber Cinema,-,-,-,-,"1pm, doors open 12:30pm",
Centre,Wednesday,"Toddler Time Drop-in (19mos-3yrss), 15, 22, 29 Apr",Wychwood Library,-,-,-,-,10:30-11am,
East,Wednesday,After School Drop-in,Main Street Library,-,-,-,-,3:30-5pm,
Centre,Thursday,Drop-in (0-6yrs),Mothercraft West,-,-,-,-,9:30am-12pm,
Centre,Friday,Drop-in (0-6yrs),Mothercraft West,-,-,-,-,9:30-11:30am,
Centre,Thursday,"Baby Time (0-18mos), 16, 23, 30 Apr",Wychwood Library,-,-,-,-,10:30-11am,
West,Thursday,4th Thu of the mth,La Leche League - St Clair West Evening Group,-,-,-,-,6:30pm,
Centre,Tuesday,2nd Tue of mth,La Leche League-Toronto Downtown-Yonge & College,-,-,-,-,11am,
West,Tuesday,"K-Nex Fun (6-12yrs), 7, 14, 21 Apr",Dufferin/St Clair Library,-,-,-,-,4-5pm,
Centre,Tuesday,Family Drop-in (0-5yrs),Mothercraft at Wychwood Library,-,-,-,-,2:30-4:30pm,
East,Monday,Family Gym (6-12yrs),Jimmie Simpson RC,-,-,-,-,3:30-6:30pm,
East,Sunday,"Cards & Games (all ages, 6yrs+)",St Lawrence,-,-,-,-,12:15-3:45pm,
East,Sunday,"Cards & Games (all ages, 6yrs+)",St Lawrence,-,-,-,-,12:15-3:45pm,
East,Monday,"Cards & Games (all ages, 6yrs+), 4-6pm: Ping Pong (6-16yrs)",St Lawrence,-,-,-,-,3:30-7:45pm,
East,Tuesday,"Cards & Games (all ages, 6yrs+),1:45-3pm: TableTennis (6yrs+), 4-5:15pm: Ball Hockey (6-12yrs)",St Lawrence,-,-,-,-,3:30-8:45pm,
East,Wednesday,"Cards & Games (all ages, 6yrs+), 4-6pm: Sports & Games (6-12yrs), 1:45-3pm:TableTennis (6yrs+)",St Lawrence,-,-,-,-,3:30-8:45pm,
East,Thursday,"Cards & Games (all ages, 6yrs+), 4-5pm: Jumpstart Soccer (6-9yrs), 1:45-3pm: TableTennis (6yrs+)",St Lawrence,-,-,-,-,3:30-8:45pm,
East,Friday,"Cards & Games (all ages, 6yrs+), 4-6pm: Fun Fridays (6-12yrs), 1:45-3pm:TableTennis (6yrs+)",St Lawrence,-,-,-,-,3:30-6:45pm,
East,Saturday,"Family Gym Time (3yrs+), 11am-6:45pm:Table Tennis (6yrs+)",St Lawrence,-,-,-,-,9:30am-12pm,
West,Wednesday,After School Club: Tabletop Games,Brentwood Library,-,-,-,-,4-5pm,
West,Tuesday,Drop-in,Gooch Program College Montrose Children’s Place,-,-,-,-,9am-3pm,
West,Tuesday,After-School Lego Club,High Park Library,-,-,-,-,4-5pm,
West,Tuesday,Makers Club (5-12yrs),Parkdale Library,-,-,-,-,4-5:15pm,
,,,,-,-,-,-,,
